protein_name,median_melting_point,transcript_reg,nontranscr_reg
C11ORF61,49.83,False,False
C11ORF67,50.69,False,False
C11ORF68,50.7,False,False
C11ORF73,50.870000000000005,False,False
C11ORF79,50.52,False,False
C11ORF84,49.46,False,False
C11ORF9,48.43,False,False
C11orf48,53.91,False,False
C11orf54,56.095,False,False
C11orf57,47.84,False,False
C11orf68,55.305,False,False
C11orf73,57.12,False,False
C11orf83,50.77,False,False
C11orf84,48.02,False,False
C11orf96,58.0,False,False
C12ORF10,51.34,False,False
C12ORF11,47.75,False,False
C12ORF23,49.66,False,False
C12ORF29,50.56,False,False
C12ORF30,50.8,False,False
C12ORF44,48.495,False,False
C12ORF45,51.01,False,False
C12ORF49,50.23,False,False
C12ORF5,48.9,False,False
C12ORF51,49.88,False,False
C12orf10,56.78,False,False
